Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,4.35029854990047,1.77111716621252,2.91834002677376,3.30385015608744,1.76278015613193,2.44988864142539,2.48792270531403,1.50836672165921,1.27699094497328,1.94864740944522
Austria,3.21595022953491,0.506308350120954,1.81353628033681,3.28658197365512,2.48567352860068,2.00015891157196,1.60580414549751,0.896565315628228,0.891592367302732,2.08126858275521
Belgium,4.48944420508401,-0.053145674125376,2.18929920422458,3.53208210722744,2.83966343445897,1.11309594027537,0.340002833356965,0.561429152790106,1.97385264653172,2.12597086002609
Brazil,5.67859390284171,4.88803479876804,5.03872690108066,6.63636935253204,5.40355339056006,6.20433594839825,6.32915222712776,9.0298071857749,8.73912829959879,3.44636783234738
Canada,2.37027067444294,0.299466803009284,1.77687154092629,2.91213508872355,1.51567823124521,0.93829189781521,1.90663590717873,1.12524136094279,1.4287595470108,1.5968841285297
"China, P.R.: Hong Kong",4.29649065267302,0.576519916142576,2.31370505471598,5.27656106753591,4.06386066763425,4.32357043235704,4.4385026737968,2.99539170506913,2.41113596818294,1.48058252427183
"China, P.R.: Mainland",5.9252552887092,-0.728171334173071,3.17532798075574,5.55389705904324,2.61952616488542,2.62104902701091,1.92164341593894,1.4370245139476,2.00000000000002,1.59313725490194
Denmark,3.41626794258375,1.30470991024336,2.31092436974789,2.75868226051246,2.39791485664639,0.789071780078061,0.564020540449518,0.452034153691623,0.249999999999997,1.14713216957606
Finland,4.06595355358378,-9.17360403259616E-07,1.1841352315465,3.41680754255211,2.80833622561575,1.47828615688804,1.04119621178439,-0.207928839905218,0.356684500891696,0.754015047084413
France,2.81286194914787,0.087620478157453,1.53112270420924,2.11159795174997,1.95419531613507,0.863715497861826,0.507758822937957,0.037514380512536,0.183334861123848,1.03228275064674
Germany,2.62838174873985,0.31273762987172,1.10380916115812,2.07517452479837,2.0084909216701,1.5047209800535,0.906797948515676,0.51442053951781,0.49174862477081,1.50949655801608
India,8.34926704907584,10.8823529411765,11.9893899204244,8.85836096636663,9.31244560487382,10.9076433121019,6.35319454414936,5.87242659466756,4.94102645839974,2.49088699878493
Indonesia,10.2266645473148,4.38641555014729,5.1342040076793,5.3560477898215,4.27949999641976,6.41251330156414,6.39492540819922,6.36312113115614,3.5258051568793,3.80879806953163
Ireland,4.06030495117353,-4.47810339150477,-0.922095829024469,2.5571888318692,1.69620897294545,0.508714869485436,0.182542316627949,-0.289879079012739,0.008306337735699,0.340531561461793
Italy,3.34783258401023,0.774768131387384,1.52551602118248,2.78063272879324,3.04136333226773,1.21999342274305,0.241047429826773,0.038790399657955,-0.094016656915727,1.22653316645808
Japan,1.38007886164923,-1.35283672951722,-0.719979429159149,-0.267633600966946,-0.051939058171737,0.346440325653898,2.76195408251338,0.789517890139427,-0.116666666666671,0.467211747038214
"Korea, Republic of",4.6737959569162,2.75668647737581,2.93918135927598,4.02584624959385,2.18722120847932,1.30137705753611,1.27471470205519,0.706208169859214,0.971674763956376,1.94445590723395
Luxembourg,3.40187963025566,0.368041997888919,2.27367911621542,3.4106834106834,2.66284165508017,1.73403963519166,0.628543985440705,0.4747431614378,0.290833333333306,1.73079959118897
Mexico,5.12498274575897,5.29735584228859,4.15672722680176,3.40737824605736,4.11150981070293,3.80639069747207,4.01861608078673,2.7206406496403,2.82170784747653,6.04145724018992
Netherlands,2.48650198289454,1.18977687021549,1.27530569556686,2.3410701775137,2.45554765291609,2.50689852657884,0.976035079699661,0.600248147278775,0.316666666666663,1.3814587140721
Norway,3.75393081761006,2.19738586853571,2.41890639481001,1.28495158809159,0.696864111498241,2.12048620353119,2.0417028670721,2.17113665389528,3.55000000000002,1.87510059552548
Poland,4.1649719352477,3.79539242483406,2.58069370250546,4.23940149625935,3.56037151702788,0.99198260633235,0.053821313240047,-0.874125874125849,-0.664767331434023,2.07593553673862
Russian Federation,14.1107677840442,11.6473295764118,6.8493923025503,8.44046485932559,5.0747430079915,6.75466833903486,7.8201697001385,15.5343959935701,7.0424372541371,3.68333072334493
Saudi Arabia,9.87024816760266,5.05722276148331,5.33941733020907,5.82621637394041,2.86627029905049,3.51104209799863,2.24185348779065,1.2226931855233,2.05347076823966,-0.834845735027231
Singapore,6.62799724626855,0.596873454585425,2.82327718641822,5.24791020820135,4.57595985196851,2.35860114594609,1.0249825282285,-0.522752485199641,-0.532286132492606,0.576324696043912
South Africa,10.055282028471,7.26456214502708,4.0635389730329,5.01715773281268,5.72394366197183,5.77640413513801,6.13602015113351,4.50920827795706,6.59460441456991,5.18108223263743
Spain,4.07566076368221,-0.287996835001989,1.79988133046941,3.19614641224106,2.44600018540708,1.40854629241729,-0.150870313497969,-0.500461321406559,-0.202671740806371,1.95608333333334
Sweden,3.43704910602875,-0.494460544378046,1.15798802715629,2.96115073822139,0.8883775069237,-0.044292970148656,-0.17963849411465,-0.046784744983265,0.984269244577978,1.79449904665596
Switzerland,2.42604804028587,-0.480467933987869,0.688233448733407,0.231336576913037,-0.692545841930371,-0.21730851764762,-0.013229160245496,-1.14390064437645,-0.434607638542948,0.533795988132759
Turkey,10.4441283764885,6.25097663090625,8.56644420552977,6.47187967115097,8.89156996512164,7.49309030547697,8.85457271364318,7.6708536484588,7.77513415328334,11.1443110840764
United Kingdom,3.52140856342537,1.96173173560107,2.49265472467065,3.85611244682819,2.57323479654528,2.29166666666666,1.45112016293279,0.368046842325369,1.00841736811403,2.55775577557754
United States,3.83910029665101,-0.35554626629975,1.64004344238989,3.15684156862206,2.06933726526059,1.46483265562714,1.62222297740821,0.118627135552435,1.26158320570537,2.13011000365963
G20,4.97199191561959,2.04888808970545,3.32091520151826,4.1819400022886,3.26311252664282,3.15551292677056,2.7657855894776,2.34878960800824,2.24020613069703,2.32299835151967
