Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,92.1497771575392,88.123128814662,100,107.398246826782,110.154180837343,104.23023583115,98.599690506847,89.7426168886273,90.9225651363041,93.5937858055507,89.9907166056939
Austria,102.113093678963,103.446761998724,100,99.9616631519666,98.097017818149,99.9971060982196,100.97098895755,97.3542560953787,98.7946959086459,99.5745874829786,101.565590397989
Belgium,103.122224228001,104.223387022282,100,100.536822782765,98.1105405382009,100.776683130477,101.774736605749,97.0703107279106,99.1470055016576,100.303535913057,102.896389037973
Brazil,92.8843908577742,89.7581824953992,100,102.486012130162,90.9322363859373,83.9064069015611,81.1305776315604,63.6725031710286,64.6911657394211,70.8518693261343,64.0694645048154
Canada,95.8965534615927,91.3816785444559,100,102.002969059115,102.294356499666,99.5663976608937,93.4168856799408,84.5410088721805,82.9143734386275,84.60862033077,84.230012656252
"China, P.R.: Hong Kong",101.316222997025,102.682726516191,100,94.9583140375705,95.2718376940333,95.7274554834585,96.1695629784148,100.838678494804,104.233645582115,104.32985971443,101.782123807045
"China, P.R.: Mainland",96.4641413014526,102.20703232684,100,100.367324955135,106.113268427391,111.49031342959,115.49838951683,126.712258627541,119.877152142685,116.863237217555,118.654499554897
Denmark,102.645451678433,104.813190920199,100,99.6315318461879,97.0267527677251,98.9888431729336,100.513787623691,96.8425263252423,98.9816198768412,100.126941573393,102.613528597283
Euro Area,105.231281950545,108.123344922279,100,101.064126269426,96.3963336694385,101.182183394018,103.837490951113,96.230171038271,100.182266416975,102.648285446047,108.020519000072
Finland,102.981019151788,105.447152087583,100,99.9670074706923,96.9406060229391,99.511848187631,101.643150258388,98.9039481157274,101.123115940083,101.794094621718,105.02487937834
France,103.208733578748,103.962768840659,100,100.347988516221,97.7349401385362,100.135446668559,101.087507567862,96.4395594560511,98.2536175952713,99.6024684447076,102.077015593383
Germany,103.851319496806,105.17839697282,100,100.284666791526,97.2204145669152,100.132817122531,101.485222232272,96.0824274299634,98.3321500435314,99.6078485871965,102.482895784165
Ireland,104.535465918432,104.774346520692,100,100.736808555223,96.6876716905162,99.7053069258981,100.146410388826,92.733661585413,94.6577400572337,96.4221890473838,98.9982937062941
Italy,102.796017293624,104.226298888744,100,100.477632782566,97.9467793398959,100.528736157419,101.774194547489,97.2221025039677,99.2904111299677,100.876287595462,103.771149195938
Japan,83.8687195768707,96.1417770295482,100,105.715407507259,107.260413645056,87.2379704057601,81.0941298879495,75.737115841642,87.5010381896553,84.4291091847023,84.6718468436369
Luxembourg,101.816353956715,102.986731351206,100,100.318102320669,98.3180688386532,100.125806626447,100.994707548506,97.6052357525989,99.2448268173198,100.144099310011,102.154887034852
Mexico,113.881675899866,94.6958144014126,100,99.8628188412089,95.0303489967452,98.6712148487532,95.7125759703469,84.1328221952287,72.3924370786207,71.2744117146403,69.6875103323801
Netherlands,103.210005757304,104.274258832175,100,100.302461962371,97.6436128002156,100.101616412857,101.054149141862,96.6629660852363,98.6342925955233,99.8225248001015,102.200414714773
Norway,100.903706991721,96.8937714845932,100,102.427458695665,103.273985574302,101.294213617027,95.5209220930977,85.2078680786464,83.6320546352781,84.4331168811228,84.2369931781156
Poland,115.034397000942,95.208432466906,100,97.6912554222097,94.3297436643275,95.8632774273782,97.9427960227418,95.8998804272599,93.8165293272989,96.941467767227,99.0241267891402
Russian Federation,111.891056193655,95.4446772852122,100,101.650307354664,102.630892128543,100.257414483245,87.4935331448158,63.4766922764996,60.5449740332701,69.3052142036198,64.1591455528126
Saudi Arabia,97.9996626566203,101.758930438496,100,96.6101417612171,99.3636431133393,100.617802845216,101.935793511553,110.602405265485,113.616111905374,115.057240528248,114.327105503022
Singapore,97.0514314134451,97.2673573010908,100,103.582991993096,106.156383633975,108.083608123768,108.728695182592,107.773990512495,109.821562777719,109.872293010677,110.980677906252
South Africa,86.2515340943926,88.6288513459269,100,97.3363770440849,89.1351332692307,76.6984780851942,69.3262875893718,65.7147200820339,58.8727192024479,64.6373934521695,64.6123585650915
Spain,102.54098039812,103.455669730499,100,100.518133631837,98.3886265033204,100.725433899443,101.986243393813,98.0178444514994,100.241025529046,101.569265936404,104.421171167195
Sweden,102.557260763133,93.8581865677415,100,106.117500493643,107.157978608389,110.690241444218,106.607093773799,99.8273757377534,100.670745021027,99.7800612656595,95.8671764384779
Switzerland,90.3320317261657,94.875204224431,100,112.65655653255,111.876862052116,112.337113818976,114.679212829619,124.007587309136,123.149388685591,122.204699923692,120.141157799774
United Kingdom,113.766456269653,100.714962016148,100,99.2792887509398,102.816623253213,101.140937683307,107.804658948601,113.43566629264,102.256336448089,96.2685292987921,97.8971202896644
United States,98.1479181342922,103.802542478679,100,95.4754318702103,98.3672393435143,99.3727469420635,101.660192196138,114.145518010651,119.206261163028,118.998902039631,117.804306626228
